==================================================================
                        General Data File
==================================================================
Units:
length m mass kg
Number of elements and nodes:
3979 864

.................................................................

Node                X m        Y m        Z m
Coordinates:
189       6.1261       5.4707      -6.5687
190        6.758       5.8833      -6.4784
191       6.6975       6.6281      -5.7049
192        5.766       4.3766      -8.4635
193       3.0813       5.0752      -6.5319
194            0          5.5      -9.0474
195      0.71111       5.1746       -8.123
196       2.4155       4.1178      -9.2372
197       2.4533         8.84      -4.1469
198        3.235       9.4263      -3.8993
199       1.6724       4.4003       -8.807
200       2.0189       4.8653      -7.1255
201       3.2532       4.0313        -8.45
202       2.3116       5.3163      -6.2774
203       5.3069       5.4204      -5.9902
204       3.9711       4.1346      -7.8438
205       3.5795       5.5055      -5.6757
206       6.5898       4.3546      -9.1801
207       7.2363       4.8443       -8.431
208      0.95263          4.5          -10
209       3.2732       6.4626      -4.8506
210       4.6283       9.2147       -3.789
211       5.8144        3.997      -9.2458
212       4.3536       3.8087      -8.7131
213       1.9053            4          -10
214       5.2048       6.0656       -5.119
215            8            5          -10
216            0            5          -10
217       3.7994       6.6961      -4.4644
218       6.3488        7.064      -4.7577
219       5.3922       4.6641      -6.6452
220       4.4058       5.3245      -5.5621
221       2.1464       7.6783       -4.226
222       3.9418       4.3566      -6.7883
223            8            5      -8.8889
224       5.0149       7.4189      -4.1227
225       6.1873       5.6927      -5.5914
226       5.3141       8.3573      -3.7997
227       3.2411       4.1752      -7.0983
228        0.798       6.1203       -5.778
229       1.0204       4.8382      -7.2288
230       7.3273         4.41      -9.0353
231       4.6842       4.1176       -7.137
232       2.5199       4.1099      -7.4496
233            0        5.576      -7.1594
234       3.9572       8.2876       -3.611
235      0.83485       4.1904      -9.3586
236       6.2999       4.2675      -7.5398
237      0.98847       7.0576       -4.843
238        7.034       4.5163      -7.7439
239            4           10      -3.3333
240       5.8387       3.5917          -10
241            0            5      -8.0947
242       2.1492       6.1801      -4.8388
243       5.2402       3.5395       -8.798
244            0            7      -5.5556
245       2.8243       3.4065          -10
246       4.7786       3.3416          -10
247       1.9076       6.7446      -4.5078
248       3.9045       8.9125      -3.3566
249      0.95088       7.7132      -4.4486
250       1.7137       8.2853      -3.9003
251        1.554       5.4745      -5.6376
252        2.287       3.6547      -8.4354
253       4.2029       7.3313      -3.7939
254            8            5      -7.7778
255       2.9885       7.7183      -3.6805
256       1.3975       6.2154      -4.9781
257       6.7008        3.731          -10
258        2.588       4.3074      -6.4908
259            0       6.0438      -6.1007
260      0.66993       4.2322      -8.3299
261            0          4.5      -9.0474
262       2.9709       5.5375      -4.8776
263       1.5785       3.9002      -7.9413
264       3.8056       3.1223          -10
265       7.3846       5.7693      -5.6934
266       5.3864       6.5065      -4.1843
267       5.4406       3.2308      -9.4623
268       1.5235       4.6942       -6.269
269       4.5243       3.3791       -7.897
270            6          7.5      -3.8105
271       4.0874       4.4342      -5.8062
272       5.5655       3.6029      -7.6806
273       6.0402       4.7429      -5.8822
274       6.9573       5.1481      -5.9359
275       4.4726       5.9631      -4.2999
276       3.7057       3.0543      -9.1737
277       2.8054        3.116      -9.3109
278       6.2564       3.3873      -9.3031
279       3.7366       3.2194      -8.1838
280       2.9778       4.7279      -5.4716
281        6.676       4.4523       -6.603
282       5.0864       4.4829      -5.7061
283         7.75            4          -10
284        6.098       3.4312      -8.3212
285       4.6591       5.1648      -4.8359
286       5.5636          5.1      -5.0739
287      0.67203       5.1464       -5.988
288       4.4225       6.5065      -3.7858
289       7.0346       6.2067      -4.7469
290       1.2561       3.4865      -8.7977
291      0.95263          3.5          -10
292       2.1713       4.6942      -5.5018
293            0            4          -10
294       3.0432       9.2824      -2.8885
295       6.1624       5.7433      -4.5888
296            8            5      -6.6667
297       5.5751       3.7787        -6.67
298       2.4106       6.8976      -3.6523
299       3.1134       8.3969      -2.9834
300       2.8091       3.3372      -7.3299
301       7.7657       4.0628      -8.1178
302       1.6678       3.8733       -6.829
303       4.7986       9.0018      -2.8288
304       3.4649       7.5453      -3.1475
305       3.8635       4.9479      -4.7255
306       4.5313       2.8223      -8.6517
307       6.9612       3.6455       -7.821
308       1.4453       7.1655      -3.7221
309       3.3263       6.3448      -3.6368
310       2.0938       7.7497      -3.2257
311       5.0165       7.0332      -3.2863
312       1.8548       5.4051      -4.5864
313       2.5167       5.8818           -4
314            0        4.424      -7.1594
315        5.263       5.5103      -4.2081
316      0.71686       3.8762       -7.346
317            0       3.9848      -8.1936
318       4.8388       2.6281      -9.2993
319       4.4187       7.7438      -2.9041
320            0            7      -4.4444
321      0.75231       5.4479      -5.0336
322       2.0297       8.5223      -2.9163
323        7.625          3.5      -9.0474
324       5.1567       3.1029      -7.2708
325       3.7345       3.1168      -7.0091
326            0       6.0474           -5
327       6.5534       4.9367      -5.0413
328       3.8786       9.3499      -2.4943
329       3.4885       5.4047      -4.0482
330       6.6859       6.6427      -3.7997
331       4.5194       3.2785      -6.6053
332       6.0676       3.7881      -6.2406
333       5.5524       2.5751          -10
334       2.6406       2.6962      -8.4137
335       4.4869       4.2463      -5.0498
336      0.86607       6.2614      -4.1551
337       5.4574       2.8029      -7.9577
338       5.6667       7.9167      -2.8579
339       7.7224       3.8896      -7.3363
340            0       5.0285      -5.7955
341       5.0899       3.6842      -5.8026
342       1.0551       2.9295      -9.6086
343       6.4508        2.731          -10
344       1.7594       2.7277      -9.0228
345       1.5728       2.9726      -8.0799
346       1.1876       4.5923      -5.3281
347       4.4925       2.3158          -10
348      0.78977       3.2787       -7.933
349       4.1004       6.7926      -2.9526
350       1.4634       3.2451      -7.1891
351       3.0569       3.3673      -6.1077
352       6.2429        3.055        -7.35
353       1.7851       3.8284      -5.8327
354       5.6825       7.1547       -2.969
355       1.7986       2.5486          -10
356      0.70135       4.1475      -6.0858
357            4           10      -2.2222
358       3.5227       3.9728      -5.0962
359       4.3044       2.6095      -7.5725
360       5.6883       6.6085      -3.1967
361            8            5      -5.5556
362       6.8467       4.1924      -5.6482
363       1.6901       6.2014      -3.5844
364          7.5            3          -10
365       4.1388         3.45      -5.7049
366       1.1141       5.6042      -4.1838
367       3.6956       2.2806      -8.5345
368       4.4223       5.0907      -3.8541
369       5.8836       2.3881       -9.198
370       5.0617       4.5499      -4.4042
371       3.2687       2.5057      -7.6545
372        5.419       3.1591      -6.3019
373       3.5956        2.084          -10
374       3.3979       8.5236      -2.2218
375       3.9212       5.8815      -3.1558
376       7.0314       3.5382      -6.3873
377       4.9403       5.7345       -3.284
378       1.0382       2.6661      -8.7086
379       5.9978       4.8278      -4.2126
380       4.0261       8.3365      -2.1554
381          7.5            3      -8.0947
